1,isbn,author,tag_author,name,publisher,city,type_of_printing,printing,publ_date,year_of_w,language,type,cover,read,series,condition,inscription,format,pages,from
823,5-04-003474-1,Энид Блайтон,Блайтон,Тайна вора-невидимки,Эксмо-Пресс,Москва,Дополнительный,10000,1999,,русский,детская повесть,твёрдая,TRUE,Чёрный котёнок,worn - old,,84*108(1/32),240,была
824,5-04-000909-7,Энид Блайтон,Блайтон,Тайна опасных писем,Эксмо-Пресс,Москва,Дополнительный,15000,1998,,русский,детская повесть,твёрдая,TRUE,Чёрный котёнок,medium - old,,84*108(1/32),240,была
825,,Алексей Толстой,А.Толстой,Хождение по мукам. Том 1-2.,Лениздат,Ленинград,Основной,100000,1983,1928,русский,роман,твёрдая,FALSE,Страницы истории отечества,normal - old,Зинаиде Павловне!,84*108(1/32),527,была
826,,Алексей Толстой,А.Толстой,Хождение по мукам. Том 3.,Лениздат,Ленинград,Основной,100000,1983,1941,русский,роман,твёрдая,FALSE,Страницы истории отечества,normal - old,,84*108(1/32),352,была
827,,А.С.Грин,А.Грин,Избранное,мастацкая лiтература,Минск,Основной,350000,1979,,русский,сборник,твёрдая,FALSE,,normal - old,,84*108(1/32),480,была
828,,Александр Грин,А.Грин,Бегущая по волнам,Лениздат,Ленинград,Основной,20000,1986,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),639,была
829,,В.Ян,Ян,Чингиз-хан,мастацкая лiтература,Минск,Основной,1500000,1981,,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),303,была
830,,В.Ян,Ян,Батый,Народная асвета,Минск,Основной,1000000,1981,,русский,роман,твёрдая,FALSE,,good - old,,84*108(1/32),352,была
831,,В.Ян,Ян,"К ""последнему морю"". Юность полководца",Правда,Москва,Основной,1500000,1981,,русский,сборник романов,твёрдая,FALSE,,good - old,,84*108(1/32),512,была
832,,Роберт Луис Стивенсон,Стивенсон,Владетель Баллантрэ,Правда,Москва,Основной,3000000,1987,,русский,сборник рассказов,твёрдая,FALSE,,good - old,,84*108(1/32),592,была
